Address,Grades,School_ID,ALD_15,Grade_Cat,:created_at,:id,:updated_at,:version,Short_Name,Longitude,Latitude,the_geom,GeoNetwork,WARD_15,Phone,Network,COMMAREA,Governance,Zip
1501 E 83rd Pl,"K, 1, 2, 3, 4, 5, 6, 7, 8",400023,Michelle A. Harris,ES,2015-12-02T17:40:19.962Z,row-cm9s~aztd-ew2c,2015-12-02T17:40:19.962Z,rv-f4v7.4ahs.ie2b,CICS - AVALON/SOUTH SHORE,-87.587928,41.743179,POINT (-87.58792764106879 41.74317942082191),12,8,1(773)721-0858,Charter,AVALON PARK,Charter,60619
1816 W Garfield Blvd,"K, 1, 2, 3, 4, 5, 6, 7, 8",400024,JoAnn Thompson,ES,2015-12-02T17:40:19.962Z,row-tqhv_zeqj.z6kt,2015-12-02T17:40:19.962Z,rv-94ig.pshg.w2e4,CICS - BASIL,-87.670243,41.794043,POINT (-87.67024265743187 41.79404286409502),11,16,1(773)778-9455,Charter,NEW CITY,Charter,60609
2235 N Hamilton Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400025,Scott Waguespack,ES,2015-12-02T17:40:19.962Z,row-kmgz.8qcw.7zd2,2015-12-02T17:40:19.962Z,rv-evka.9h9g_xacu,CICS - BUCKTOWN,-87.681358,41.922415,POINT (-87.68135796457504 41.922414630258146),6,32,1(773)645-3321,Charter,LOGAN SQUARE,Charter,60647
9535 S Loomis St,"K, 1, 2",400026,"Howard B. Brookins, Jr.",ES,2015-12-02T17:40:19.962Z,row-rqfj_wg9b_8mp9,2015-12-02T17:40:19.962Z,rv-w8hi-vi68_is57,CICS - LOOMIS,-87.657561,41.720246,POINT (-87.6575610581237 41.7202464236384),11,21,1(773)429-8955,Charter,WASHINGTON HEIGHTS,Charter,60643
3820 N Spaulding Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400027,Deborah Mell,ES,2015-12-02T17:40:19.962Z,row-jju7~ihe9_2hee,2015-12-02T17:40:19.962Z,rv-khjw.wvik.3ee8,CICS - IRVING PARK,-87.710492,41.950891,POINT (-87.71049242868855 41.950891275251905),1,33,1(773)433-5000,Charter,IRVING PARK,Charter,60618
11530 S Prairie Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400028,Anthony A. Beale,ES,2015-12-02T17:40:19.962Z,row-gtay~vz4r~vxuc,2015-12-02T17:40:19.962Z,rv-aqg4-2wz9_ddhh,CICS - PRAIRIE,-87.616888,41.684433,POINT (-87.61688838205525 41.68443303904943),13,9,1(773)928-0480,Charter,WEST PULLMAN,Charter,60628
6105 S Michigan Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400029,Willie B. Cochran,ES,2015-12-02T17:40:19.962Z,row-wyq4_hezd~fcck,2015-12-02T17:40:19.962Z,rv-zvhn_mwmx-9sb7,CICS - WASHINGTON PARK,-87.622068,41.783617,POINT (-87.62206845448584 41.783616846957266),9,20,1(773)324-3300,Charter,WASHINGTON PARK,Charter,60637
2245 N McVicker Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400030,Nicholas Sposato,ES,2015-12-02T17:40:19.962Z,row-u8ss-668x_bjyt,2015-12-02T17:40:19.962Z,rv-5fv9.2fhd_eyj9,CICS - WEST BELDEN,-87.776749,41.921687,POINT (-87.77674853907035 41.921687495626934),3,36,1(773)637-9430,Charter,BELMONT CRAGIN,Charter,60639
8130 S California Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400031,Lona Lane,ES,2015-12-02T17:40:19.962Z,row-3vie~tsud_x9zk,2015-12-02T17:40:19.962Z,rv-ab5p-yez4~kapc,CICS - WRIGHTWOOD,-87.692614,41.745365,POINT (-87.6926143989889 41.745365451015516),10,18,1(773)434-4575,Charter,ASHBURN,Charter,60652
1817 W 80th St,"9, 10, 11, 12",400032,Latasha R. Thomas,HS,2015-12-02T17:40:19.962Z,row-vggj_r96h_rg4c,2015-12-02T17:40:19.962Z,rv-k84y_asyw.74va,CICS - ELLISON HS,-87.66898,41.748382,POINT (-87.6689796392726 41.748382408774084),11,17,1(773)478-4434,Charter,AUBURN GRESHAM,Charter,60620
1309 W 95th St,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",400033,"Howard B. Brookins, Jr.",HS,2015-12-02T17:40:19.962Z,row-92q4.t3ah-hvw9,2015-12-02T17:40:19.962Z,rv-8835_34qu~vexa,CICS - LONGWOOD,-87.655768,41.721221,POINT (-87.65576813289731 41.72122143327729),11,21,1(773)238-5330,Charter,WASHINGTON HEIGHTS,Charter,60643
3900 W Peterson Ave,"9, 10, 11, 12",400034,Margaret Laurino,HS,2015-12-02T17:40:19.962Z,row-tym3-fbca.b3mb,2015-12-02T17:40:19.962Z,rv-2c4e_jmuy-uny6,CICS - NORTHTOWN HS,-87.726504,41.990245,POINT (-87.72650426436232 41.99024501196333),1,39,1(773)478-3655,Charter,NORTH PARK,Charter,60659
7212 N Clark St,"6, 7, 8, 9, 10, 11, 12",400035,Joe A. Moore,HS,2015-12-02T17:40:19.962Z,row-rd2h-sijg~8jbg,2015-12-02T17:40:19.962Z,rv-cz3f.ez88_ighd,CHICAGO MATH & SCIENCE HS,-87.674818,42.013031,POINT (-87.67481841787252 42.013031490060015),2,49,1(773)761-8960,Charter,ROGERS PARK,Charter,60626
38 S Peoria St,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",400036,Daniel S. Solis,HS,2015-12-02T17:40:19.962Z,row-68yp.9yrv-at3b,2015-12-02T17:40:19.962Z,rv-r5ad~ecjf-yir7,CHICAGO VIRTUAL,-87.649772,41.88055,POINT (-87.6497724848787 41.880550112474594),6,25,1(312)267-4486,Charter,NEAR WEST SIDE,Charter,60607
1239 S Pulaski Rd,"11, 12",400038,Michael D. Chandler,HS,2015-12-02T17:40:19.962Z,row-xg3a-zyp5-w6ec,2015-12-02T17:40:19.962Z,rv-hjs6~wvh6~7jug,COMMUNITY SERVICES WEST HS,-87.725022,41.864952,POINT (-87.72502202021207 41.864952259766675),5,24,1(773)522-5133,Options,NORTH LAWNDALE,Contract,60623
1405 N Washtenaw Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400039,Proco (Joe) Moreno III,ES,2015-12-02T17:40:19.962Z,row-nxxg-z8z9_74ph,2015-12-02T17:40:19.962Z,rv-w7c7.xw5c_3uvw,ERIE,-87.694364,41.906771,POINT (-87.69436444553965 41.906770635439514),5,1,1(773)486-7161,Charter,WEST TOWN,Charter,60622
3711 W Douglas Blvd,"K, 1, 2, 3, 4, 5, 6, 7, 8",400040,Michael D. Chandler,ES,2015-12-02T17:40:19.962Z,row-q3ay~edg3_7mpb,2015-12-02T17:40:19.962Z,rv-6u99_47xr_rcg6,FRAZIER CHARTER,-87.717642,41.862077,POINT (-87.71764197611792 41.86207686420526),5,24,1(773)534-6776,Charter,NORTH LAWNDALE,Charter,60624
3814 W Iowa St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400041,"Walter Burnett, Jr.",ES,2015-12-02T17:40:19.962Z,row-aqbx-fn4s_xh28,2015-12-02T17:40:19.962Z,rv-p75d-uq7t-dtde,GALAPAGOS,-87.721959,41.897313,POINT (-87.72195903870256 41.89731302504434),5,27,1(773)384-9400,Charter,HUMBOLDT PARK,Charter,60651
1628 W Washington,"K, 1, 2, 3, 4, 5",400043,"Walter Burnett, Jr.",ES,2015-12-02T17:40:19.962Z,row-gs2x_fjwc~rips,2015-12-02T17:40:19.962Z,rv-b445_i7fd~qkqe,HOPE INSTITUTE,-87.668077,41.883362,POINT (-87.66807694586068 41.88336202716673),6,27,1(773)534-7405,Contract,NEAR WEST SIDE,Contract,60612
1616 S Avers Ave,"6, 7, 8",400044,Michael D. Chandler,ES,2015-12-02T17:40:19.962Z,row-mnig_2s9q-3vbj,2015-12-02T17:40:19.962Z,rv-w74q.5mi2~z7hh,KIPP - ASCEND,-87.721071,41.85837,POINT (-87.7210706466709 41.85836974406114),5,24,1(773)521-4766,Charter,NORTH LAWNDALE,Charter,60623
314 W 108th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400045,Carrie M. Austin,ES,2015-12-02T17:40:19.962Z,row-2im8.i9ne~zjxm,2015-12-02T17:40:19.962Z,rv-niez~dwk8-qg8v,NKRUMAH,-87.631058,41.69804,POINT (-87.63105814842866 41.69804048846774),13,34,1(773)568-8000,Charter,ROSELAND,Charter,60628
1132 S Homan Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400046,Michael D. Chandler,ES,2015-12-02T17:40:19.962Z,row-fsmn-rvrm-vvrb,2015-12-02T17:40:19.962Z,rv-da67-y5bm~tw89,LEARN - BUTLER,-87.710679,41.867273,POINT (-87.71067948017503 41.86727271425741),5,24,1(773)826-6330,Charter,NORTH LAWNDALE,Charter,60624
212 S Francisco Ave,"K, 1, 2, 3, 4, 5",400047,"Walter Burnett, Jr.",ES,2015-12-02T17:40:19.962Z,row-prbc~pnyy.fynu,2015-12-02T17:40:19.962Z,rv-myps~zn6p_z4up,LEARN - CAMPBELL,-87.698739,41.877861,POINT (-87.69873872021003 41.87786063163507),5,27,1(773)826-0370,Charter,EAST GARFIELD PARK,Charter,60612
2401 W Congress Pkwy,"K, 1, 2, 3, 4, 5",400048,Jason C. Ervin,ES,2015-12-02T17:40:19.962Z,row-6ien_iehr.rdca,2015-12-02T17:40:19.962Z,rv-jphi-wbwi-aaf8,LEARN - EXCEL,-87.686568,41.874687,POINT (-87.68656837091822 41.87468714119564),6,28,1(312)243-7001,Charter,NEAR WEST SIDE,Charter,60612
4217 W 18th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400049,Michael D. Chandler,ES,2015-12-02T17:40:19.962Z,row-5vc3_dkzp-hw5y,2015-12-02T17:40:19.962Z,rv-svph~46eq~ifeg,LEGACY,-87.730348,41.856859,POINT (-87.73034814817423 41.85685915858964),5,24,1(773)542-1640,Charter,NORTH LAWNDALE,Charter,60623
3737 S Paulina St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400050,George A. Cardenas,ES,2015-12-02T17:40:19.962Z,row-npt2.3s3n.e6sy,2015-12-02T17:40:19.962Z,rv-z977.e7t5~8chm,NAMASTE,-87.667724,41.8257,POINT (-87.6677240431499 41.825699759997775),8,12,1(773)715-9558,Charter,MCKINLEY PARK,Charter,60609
1010 N Noble St,"9, 10, 11, 12",400051,Bob Fioretti,HS,2015-12-02T17:40:19.962Z,row-qtfp~xim6~wc84,2015-12-02T17:40:19.962Z,rv-qpu5_rg9e.rzf5,NOBLE - NOBLE HS,-87.662628,41.900191,POINT (-87.66262778166536 41.90019052103736),6,2,1(773)862-1449,Charter,WEST TOWN,Charter,60642
7200 S Ingleside Ave,"6, 7, 8, 9, 10, 11, 12",400052,Leslie A. Hairston,HS,2015-12-02T17:40:19.962Z,row-9xct~desy.faqz,2015-12-02T17:40:19.962Z,rv-m9zw_q57v_vwfc,NOBLE - COMER HS,-87.601974,41.764083,POINT (-87.60197357256763 41.76408299333481),12,5,1(773)729-3969,Charter,GREATER GRAND CROSSING,Charter,60619
1454 W Superior St,"9, 10, 11, 12",400053,"Walter Burnett, Jr.",HS,2015-12-02T17:40:19.962Z,row-z62z_bthx~i5fd,2015-12-02T17:40:19.962Z,rv-gvn4.nwde.ratf,NOBLE - GOLDER HS,-87.664483,41.895282,POINT (-87.66448299826246 41.89528219433232),6,27,1(312)265-9925,Charter,WEST TOWN,Charter,60642
4131 W Cortland Ave,"9, 10, 11, 12",400054,Rey Colon,HS,2015-12-02T17:40:19.962Z,row-9ujv~zcmj_p5zf,2015-12-02T17:40:19.962Z,rv-ianq~r538~mfed,NOBLE - PRITZKER HS,-87.730127,41.915214,POINT (-87.73012671511242 41.91521410711223),4,35,1(773)394-2848,Charter,HERMOSA,Charter,60639
1337 W Ohio St,"9, 10, 11, 12",400055,Proco (Joe) Moreno III,HS,2015-12-02T17:40:19.962Z,row-m6yc_ib5b-pvm4,2015-12-02T17:40:19.962Z,rv-gqij~658f_zjgi,NOBLE - RAUNER HS,-87.660859,41.892425,POINT (-87.66085887018309 41.892425012737036),6,1,1(312)226-5345,Charter,WEST TOWN,Charter,60642
3645 W Chicago Ave,"9, 10, 11, 12",400056,"Walter Burnett, Jr.",HS,2015-12-02T17:40:19.962Z,row-t322~dafn.47cu,2015-12-02T17:40:19.962Z,rv-izin_abd2~rbtn,NOBLE - ROWE CLARK HS,-87.718047,41.895362,POINT (-87.71804676745052 41.895362258678766),5,27,1(773)242-2212,Charter,HUMBOLDT PARK,Charter,60651
1231 S Damen Ave,"9, 10, 11, 12",400057,Jason C. Ervin,HS,2015-12-02T17:40:19.962Z,row-zb9y.unxp~zhkp,2015-12-02T17:40:19.962Z,rv-qchz~g93a-rvd9,NOBLE - UIC HS,-87.676111,41.865817,POINT (-87.67611092928446 41.8658174137661),6,28,1(312)768-4858,Charter,NEAR WEST SIDE,Charter,60608
1615 S. Christiana Ave.,"9, 10, 11, 12",400058,Michael D. Chandler,HS,2015-12-02T17:40:19.962Z,row-vqse-hpvg-3wum,2015-12-02T17:40:19.962Z,rv-utxb_6tbd.2xmp,NORTH LAWNDALE - CHRISTIANA HS,-87.708987,41.858564,POINT (-87.70898711066647 41.85856355452969),5,24,1(773)542-1490,Charter,NORTH LAWNDALE,Charter,60623
1313 S Sacramento Dr,"8, 9, 10, 11, 12",400059,Michael D. Chandler,HS,2015-12-02T17:40:19.962Z,row-cure_wpef-aa9p,2015-12-02T17:40:19.962Z,rv-nn2w_7q46~yf8e,NORTH LAWNDALE - COLLINS HS,-87.700681,41.864146,POINT (-87.70068060050106 41.86414584343335),5,24,1(773)542-6766,Charter,NORTH LAWNDALE,Charter,60623
1643 W Bryn Mawr Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400060,Patrick O'Connor,ES,2015-12-02T17:40:19.962Z,row-rhf6.p8ks.bpa8,2015-12-02T17:40:19.962Z,rv-wb9m_thjf.jaqf,AHS - PASSAGES,-87.67116,41.983371,POINT (-87.67116041959069 41.98337143642813),2,40,1(773)433-3530,Charter,EDGEWATER,Charter,60660
8131 S May St,"6, 7, 8, 9, 10, 11, 12",400061,"Howard B. Brookins, Jr.",HS,2015-12-02T17:40:19.962Z,row-egw7.gnh5~hcyn,2015-12-02T17:40:19.962Z,rv-ywhe-gsfb-rdz6,PERSPECTIVES - LEADERSHIP HS,-87.652045,41.745961,POINT (-87.6520450880387 41.745960831994694),11,21,1(773)358-6100,Charter,AUBURN GRESHAM,Charter,60620
8131 S May St,"9, 10, 11, 12",400062,"Howard B. Brookins, Jr.",HS,2015-12-02T17:40:19.962Z,row-c7us_qesn.v7mv,2015-12-02T17:40:19.962Z,rv-hjyp_f3z8-jcsw,PERSPECTIVES - TECH HS,-87.650657,41.745949,POINT (-87.6506570243317 41.74594901950111),11,21,1(773)358-6120,Charter,AUBURN GRESHAM,Charter,60620
1930 S Archer Ave,"6, 7, 8, 9, 10, 11, 12",400064,Patricia R. Dowell,HS,2015-12-02T17:40:19.962Z,row-8wia_4ix3-7q48,2015-12-02T17:40:19.962Z,rv-7uya_px83_sdv9,PERSPECTIVES - JOSLIN HS,-87.628531,41.855999,POINT (-87.62853090126264 41.85599910496795),6,3,1(312)225-7400,Charter,NEAR SOUTH SIDE,Charter,60616
3663 S Wabash Ave,"6, 7, 8, 9, 10, 11, 12",400066,Patricia R. Dowell,HS,2015-12-02T17:40:19.962Z,row-4km6_mrqt-326v,2015-12-02T17:40:19.962Z,rv-6uv8.fftk.jd3j,PERSPECTIVES - MATH & SCI HS,-87.624788,41.827784,POINT (-87.62478772027431 41.827783857483126),9,3,1(773)358-6800,Charter,DOUGLAS,Charter,60653
5545 W Harrison St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400068,Deborah L. Graham,ES,2015-12-02T17:40:19.962Z,row-h3jh_6nyc~bpcu,2015-12-02T17:40:19.962Z,rv-x9fp.4zaz.3sfb,PLATO,-87.763337,41.87276,POINT (-87.76333693223994 41.87276042876295),3,29,1(773)413-3090 x111,Contract,AUSTIN,Contract,60644
620 N Sawyer Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400069,"Walter Burnett, Jr.",ES,2015-12-02T17:40:19.962Z,row-vxd9-z6cn.gpb5,2015-12-02T17:40:19.962Z,rv-w48s~i7tt.uisd,POLARIS,-87.707796,41.89255,POINT (-87.7077964743336 41.892550174310884),5,27,1(773)534-0820,Charter,HUMBOLDT PARK,Charter,60624
1135 N Cleaver St,"9, 10, 11, 12",400070,"Walter Burnett, Jr.",HS,2015-12-02T17:40:19.962Z,row-i2m7.pu6y.curz,2015-12-02T17:40:19.962Z,rv-xq5t.c2bm_ea8h,PROLOGUE - EARLY COLLEGE HS,-87.663541,41.90307,POINT (-87.6635408085684 41.903070179969205),6,27,1(773)935-9925,Options,WEST TOWN,Contract,60622
6515 S Ashland Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400071,JoAnn Thompson,ES,2015-12-02T17:40:19.962Z,row-pz3r-65m5_hufx,2015-12-02T17:40:19.962Z,rv-cr3c-wgqv.6evb,PROVIDENCE ENGLEWOOD,-87.663996,41.775367,POINT (-87.66399582979243 41.77536736791468),11,16,1(773)434-0202,Charter,WEST ENGLEWOOD,Charter,60636
7823 S Ellis Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400072,Michelle A. Harris,ES,2015-12-02T17:40:19.962Z,row-kd59.2j3z.m3ry,2015-12-02T17:40:19.962Z,rv-5326~nhy5.fji5,SHABAZZ - SHABAZZ,-87.600255,41.752458,POINT (-87.60025455369683 41.752458489265116),12,8,1(773)651-1221,Charter,GREATER GRAND CROSSING,Charter,60619
4934 S Wabash Ave,12,400073,Patricia R. Dowell,HS,2015-12-02T17:40:19.962Z,row-dg4u_8kwk_mh3q,2015-12-02T17:40:19.962Z,rv-3vig~rke2-hhtp,SHABAZZ - DUSABLE HS,-87.625015,41.804309,POINT (-87.62501515001085 41.80430932691888),9,3,1(773)535-1170,Charter,GRAND BOULEVARD,Charter,60615
6936 S Hermitage Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400074,Latasha R. Thomas,ES,2015-12-02T17:40:19.962Z,row-mu5x~fxrn.4rtc,2015-12-02T17:40:19.962Z,rv-g7jf-mfe7_b38z,SHABAZZ - SIZEMORE,-87.667639,41.76739,POINT (-87.66763900782517 41.76739011323144),11,17,1(773)535-9144,Charter,WEST ENGLEWOOD,Charter,60636
707 E 37th St,"K, 1, 2, 3, 4, 5",400075,"William ""Will"" D. Burns",ES,2015-12-02T17:40:19.962Z,row-8sk7.sxv9.qsxc,2015-12-02T17:40:19.962Z,rv-m2fp.fibj_wq6u,U OF C - DONOGHUE,-87.608501,41.827726,POINT (-87.60850078073176 41.82772608169006),9,4,1(773)285-5301,Charter,OAKLAND,Charter,60653
1119 E 46th St,"K, 1, 2, 3, 4, 5",400076,"William ""Will"" D. Burns",ES,2015-12-02T17:40:19.962Z,row-a6sy.djpm.x3uf,2015-12-02T17:40:19.962Z,rv-p7ep_i73n.t8ky,U OF C - NKO,-87.598786,41.811183,POINT (-87.59878626822365 41.81118286697261),9,4,1(773)536-2399,Charter,KENWOOD,Charter,60653
6420 S University Ave,"6, 7, 8, 9, 10, 11, 12",400077,Willie B. Cochran,HS,2015-12-02T17:40:19.962Z,row-i7vv~ynxj~vqfm,2015-12-02T17:40:19.962Z,rv-ruf9_w6et~2hp8,U OF C - WOODLAWN HS,-87.598114,41.77813,POINT (-87.59811391956653 41.77812969844571),9,20,1(773)752-8101,Charter,WOODLAWN,Charter,60637
4444 S Evans Ave,"6, 7, 8",400078,Patricia R. Dowell,ES,2015-12-02T17:40:19.962Z,row-2dtb.nie7-zk4y,2015-12-02T17:40:19.962Z,rv-kc7h_m997_ph5u,U OF C - WOODSON,-87.608426,41.813547,POINT (-87.60842562200929 41.81354730462153),9,3,1(773)624-0700,Charter,GRAND BOULEVARD,Charter,60653
4248 W 47th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400079,Edward M. Burke,ES,2015-12-02T17:40:19.962Z,row-uzn2-jhai~jpbz,2015-12-02T17:40:19.962Z,rv-cgx5_s687-dagz,UNO - ZIZUMBO,-87.730495,41.810135,POINT (-87.73049511708528 41.810134787396784),8,14,1(773)579-3470 x222,Charter,ARCHER HEIGHTS,Charter,60632
4248 W 47th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400080,Edward M. Burke,ES,2015-12-02T17:40:19.962Z,row-ry62_amqt~2m67,2015-12-02T17:40:19.962Z,rv-hngg-6vhj-8g8g,UNO - TORRES,-87.73045,41.8082,POINT (-87.73045044324228 41.808199806707506),8,14,1(773)579-3475,Charter,ARCHER HEIGHTS,Charter,60632
1641 W 16th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400081,Daniel S. Solis,ES,2015-12-02T17:40:19.962Z,row-ez48~auac.vgf9,2015-12-02T17:40:19.962Z,rv-gu2a.etcw.w786,UNO - DE LAS CASAS,-87.667949,41.859504,POINT (-87.66794916938431 41.85950400844006),7,25,1(312)432-3224,Charter,LOWER WEST SIDE,Charter,60608
2845 W Barry Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400082,Deborah Mell,ES,2015-12-02T17:40:19.962Z,row-p4ca.2ix3-gibr,2015-12-02T17:40:19.962Z,rv-apnn-bcim~9ibh,UNO - FUENTES,-87.699594,41.937476,POINT (-87.69959365155327 41.93747577617474),4,33,1(773)279-9826,Charter,AVONDALE,Charter,60618
2651 W 23rd St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400083,Michael D. Chandler,ES,2015-12-02T17:40:19.962Z,row-hhu5_3rpm-58u5,2015-12-02T17:40:19.962Z,rv-ncim_syig.kx2e,UNO - PAZ,-87.692551,41.850035,POINT (-87.6925508987114 41.850035413249145),7,24,1(773)890-1054,Charter,SOUTH LAWNDALE,Charter,60608
5135 S California Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",400084,Edward M. Burke,ES,2015-12-02T17:40:19.962Z,row-wrvg.382c-ydpj,2015-12-02T17:40:19.962Z,rv-iky5_8ycq-djgc,UNO - TAMAYO,-87.693862,41.79993,POINT (-87.69386163596879 41.79993018696646),8,14,1(773)434-6355,Charter,GAGE PARK,Charter,60632
4248 W 47th St,"9, 10, 11, 12",400085,Edward M. Burke,HS,2015-12-02T17:40:19.962Z,row-tv58-eixr.qepj,2015-12-02T17:40:19.962Z,rv-nkzk~cvbe.fy47,UNO - GARCIA HS,-87.730467,41.809171,POINT (-87.73046684906012 41.809170789908194),8,14,1(773)579-3480 x225,Charter,ARCHER HEIGHTS,Charter,60632
6201 S Stewart Ave,"9, 10, 11, 12",400086,Willie B. Cochran,HS,2015-12-02T17:40:19.962Z,row-skkc~3fmf.gikd,2015-12-02T17:40:19.962Z,rv-idce_ev2y_knn6,URBAN PREP - ENGLEWOOD HS,-87.634357,41.781498,POINT (-87.63435669187983 41.78149781675966),11,20,1(773)535-9724,Charter,ENGLEWOOD,Charter,60621
2641 S Calumet Ave,"8, 9, 10, 11, 12",400087,"William ""Will"" D. Burns",HS,2015-12-02T17:40:19.962Z,row-gtqg_yrbk~dv7j,2015-12-02T17:40:19.962Z,rv-ezse.x256-e6cs,YOUNG WOMENS HS,-87.618724,41.844544,POINT (-87.61872379621335 41.844543806496304),9,4,1(312)949-9400,Charter,DOUGLAS,Charter,60616
2916 W 47th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400089,Toni L. Foulkes,ES,2015-12-02T17:40:19.962Z,row-49ei-tt7x.9n2y,2015-12-02T17:40:19.962Z,rv-yb97_ktky~4n6w,UNO - MARQUEZ,-87.697394,41.808309,POINT (-87.69739409675225 41.808308824206264),8,15,1(773)321-2200,Charter,BRIGHTON PARK,Charter,60632
